timestamp,Pattern name,Color
2023-10-30 13:34:04,Rectangle,ORANGE
2023-10-30 13:34:04,Circle,ORANGE
2023-10-30 13:34:04,Circle,RED
2023-10-30 13:34:04,Rectangle,ORANGE
2023-10-30 13:34:04,Circle,RED
2023-10-30 13:34:04,Rectangle,ORANGE
2023-10-30 13:34:04,Circle,RED
2023-10-30 13:34:04,Rectangle,ORANGE
2023-10-30 13:34:04,Circle,RED
2023-10-30 13:34:04,Rectangle,ORANGE
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Rectangle,ORANGE
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Circle,BLUE
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Circle,BLUE
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Rectangle,VIOLET
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Rectangle,VIOLET
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Rectangle,VIOLET
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Rectangle,BLUE
2023-10-30 13:34:05,Rectangle,RED
2023-10-30 13:34:05,Rectangle,BLUE
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Rectangle,BLUE
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Rectangle,BLUE
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Circle,BLUE
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Circle,BLUE
2023-10-30 13:34:05,Circle,BLUE
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Circle,BLUE
2023-10-30 13:34:05,Circle,RED
2023-10-30 13:34:05,Circle,BLUE
2023-10-30 13:34:05,Circle,BLUE
2023-10-30 13:34:06,Circle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Rectangle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Circle,RED
2023-10-30 13:34:06,Circle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Rectangle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Circle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Circle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Circle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Rectangle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Rectangle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Rectangle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Rectangle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Circle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Circle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Rectangle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Rectangle,RED
2023-10-30 13:34:06,Circle,RED
2023-10-30 13:34:06,Rectangle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Rectangle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Rectangle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Rectangle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Circle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Rectangle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Rectangle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Rectangle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Rectangle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:06,Rectangle,RED
2023-10-30 13:34:06,Circle,BLUE
2023-10-30 13:34:07,Rectangle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Rectangle,RED
2023-10-30 13:34:07,Rectangle,RED
2023-10-30 13:34:07,Circle,VIOLET
2023-10-30 13:34:07,Rectangle,RED
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Triangle,BLUE
2023-10-30 13:34:07,Rectangle,RED
2023-10-30 13:34:07,Rectangle,RED
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Rectangle,RED
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,VIOLET
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Rectangle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Rectangle,RED
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,VIOLET
2023-10-30 13:34:07,Circle,RED
2023-10-30 13:34:07,Circle,BLUE
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Circle,BLUE
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Rectangle,VIOLET
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Rectangle,VIOLET
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Circle,BLUE
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Circle,BLUE
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Circle,BLUE
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Circle,BLUE
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Circle,BLUE
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Circle,BLUE
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Circle,BLUE
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Circle,BLUE
2023-10-30 13:34:08,Circle,VIOLET
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Circle,BLUE
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Circle,BLUE
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Rectangle,VIOLET
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Circle,VIOLET
2023-10-30 13:34:08,Triangle,BLUE
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Circle,BLUE
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Circle,BLUE
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Circle,BLUE
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Circle,BLUE
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Circle,BLUE
2023-10-30 13:34:08,Circle,BLUE
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Circle,VIOLET
2023-10-30 13:34:08,Circle,BLUE
2023-10-30 13:34:08,Circle,RED
2023-10-30 13:34:08,Rectangle,RED
2023-10-30 13:34:08,Circle,VIOLET
2023-10-30 13:34:08,Triangle,RED
2023-10-30 13:34:08,Circle,BLUE
2023-10-30 13:34:08,Rectangle,RED
2023-10-30 13:34:08,Circle,BLUE
